Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2021-01-04,-0.003,-0.003,-0.003,-0.003
2021-01-05,-0.033,-0.033,-0.033,-0.033
2021-01-07,-0.017,-0.017,-0.017,-0.017
2021-01-08,0.005,0.005,0.005,0.005
2021-01-11,-0.057,-0.057,-0.057,-0.057
2021-01-12,-0.004,-0.004,-0.004,-0.004
2021-01-13,-0.011,-0.011,-0.011,-0.011
2021-01-14,0.002,0.002,0.002,0.002
2021-01-15,0.008,0.008,0.008,0.008
2021-01-18,0.004,0.004,0.004,0.004
2021-01-19,-0.026,-0.026,-0.026,-0.026
2021-01-20,0.01,0.01,0.01,0.01
2021-01-21,0.012,0.012,0.012,0.012
2021-01-22,0.01,0.01,0.01,0.01
2021-01-25,0.011,0.011,0.011,0.011
2021-01-26,0.015,0.015,0.015,0.015
2021-01-27,0.02,0.02,0.02,0.02
2021-01-28,0.019,0.019,0.019,0.019
2021-01-29,-0.007,-0.007,-0.007,-0.007
2021-02-01,0.008,0.008,0.008,0.008
2021-02-02,0.007,0.007,0.007,0.007
2021-02-03,0.011,0.011,0.011,0.011
2021-02-04,0.004,0.004,0.004,0.004
2021-02-05,0.019,0.019,0.019,0.019
2021-02-08,0.007,0.007,0.007,0.007
2021-02-09,0.013,0.013,0.013,0.013
2021-02-10,0.01,0.01,0.01,0.01
2021-02-11,0.01,0.01,0.01,0.01
2021-02-12,0.01,0.01,0.01,0.01
2021-02-15,0.014,0.014,0.014,0.014
2021-02-16,0.013,0.013,0.013,0.013
2021-02-17,0.012,0.012,0.012,0.012
2021-02-18,0.014,0.014,0.014,0.014
2021-02-19,0.01,0.01,0.01,0.01
2021-02-22,0.007,0.007,0.007,0.007
2021-02-23,0.01,0.01,0.01,0.01
2021-02-24,-0.002,-0.002,-0.002,-0.002
2021-02-25,0.008,0.008,0.008,0.008
2021-02-26,0.001,0.001,0.001,0.001
2021-03-01,0.008,0.008,0.008,0.008
2021-03-02,0.006,0.006,0.006,0.006
2021-03-03,0.01,0.01,0.01,0.01
2021-03-04,0.009,0.009,0.009,0.009
2021-03-05,0.013,0.013,0.013,0.013
2021-03-08,0.013,0.013,0.013,0.013
2021-03-09,0.011,0.011,0.011,0.011
2021-03-10,0.013,0.013,0.013,0.013
2021-03-11,0.012,0.012,0.012,0.012
2021-03-12,0.014,0.014,0.014,0.014
2021-03-15,0.02,0.02,0.02,0.02
2021-03-16,0.018,0.018,0.018,0.018
2021-03-17,0.019,0.019,0.019,0.019
2021-03-18,0.018,0.018,0.018,0.018
2021-03-19,0.016,0.016,0.016,0.016
2021-03-22,0.017,0.017,0.017,0.017
2021-03-23,0.013,0.013,0.013,0.013
2021-03-24,0.013,0.013,0.013,0.013
2021-03-25,0.018,0.018,0.018,0.018
2021-03-26,0.011,0.011,0.011,0.011
2021-03-29,0.012,0.012,0.012,0.012
2021-03-30,0.012,0.012,0.012,0.012
2021-03-31,0.013,0.013,0.013,0.013
2021-04-01,0.01,0.01,0.01,0.01
2021-04-02,0.014,0.014,0.014,0.014
2021-04-06,0.012,0.012,0.012,0.012
2021-04-07,0.011,0.011,0.011,0.011
2021-04-08,0.01,0.01,0.01,0.01
2021-04-09,0.01,0.01,0.01,0.01
2021-04-12,0.014,0.014,0.014,0.014
2021-04-13,0.01,0.01,0.01,0.01
2021-04-14,0.013,0.013,0.013,0.013
2021-04-15,0.017,0.017,0.017,0.017
2021-04-16,0.017,0.017,0.017,0.017
2021-04-19,0.012,0.012,0.012,0.012
2021-04-20,0.011,0.011,0.011,0.011
2021-04-21,0.01,0.01,0.01,0.01
2021-04-22,0.01,0.01,0.01,0.01
2021-04-23,0.011,0.011,0.011,0.011
2021-04-26,0.013,0.013,0.013,0.013
2021-04-27,0.019,0.019,0.019,0.019
2021-04-28,0.02,0.02,0.02,0.02
2021-04-29,0.02,0.02,0.02,0.02
2021-04-30,-0.007,-0.007,-0.007,-0.007
2021-05-04,0.01,0.01,0.01,0.01
2021-05-05,0.01,0.01,0.01,0.01
2021-05-06,0.007,0.007,0.007,0.007
2021-05-07,0.014,0.014,0.014,0.014
2021-05-10,0.014,0.014,0.014,0.014
2021-05-11,0.01,0.01,0.01,0.01
2021-05-12,0.009,0.009,0.009,0.009
2021-05-13,0.009,0.009,0.009,0.009
2021-05-14,0.01,0.01,0.01,0.01
2021-05-17,0.011,0.011,0.011,0.011
2021-05-18,0.013,0.013,0.013,0.013
2021-05-19,0.01,0.01,0.01,0.01
2021-05-20,0.008,0.008,0.008,0.008
2021-05-21,0.011,0.011,0.011,0.011
2021-05-24,0.007,0.007,0.007,0.007
2021-05-25,0.006,0.006,0.006,0.006
2021-05-26,0.012,0.012,0.012,0.012
2021-05-27,0.014,0.014,0.014,0.014
2021-05-28,0,0,0,0
2021-05-31,0.004,0.004,0.004,0.004
2021-06-01,0.01,0.01,0.01,0.01
2021-06-02,-0.017,-0.017,-0.017,-0.017
2021-06-04,0.008,0.008,0.008,0.008
2021-06-07,0.007,0.007,0.007,0.007
2021-06-08,0.01,0.01,0.01,0.01
2021-06-09,0.01,0.01,0.01,0.01
2021-06-10,0.012,0.012,0.012,0.012
2021-06-11,0.011,0.011,0.011,0.011
2021-06-14,0.01,0.01,0.01,0.01
2021-06-15,0.016,0.016,0.016,0.016
2021-06-16,0.014,0.014,0.014,0.014
2021-06-17,0.015,0.015,0.015,0.015
2021-06-18,0.013,0.013,0.013,0.013
2021-06-21,0.015,0.015,0.015,0.015
2021-06-22,0.016,0.016,0.016,0.016
2021-06-23,0.015,0.015,0.015,0.015
2021-06-24,0.011,0.011,0.011,0.011
2021-06-25,0.001,0.001,0.001,0.001
2021-06-28,0.012,0.012,0.012,0.012
2021-06-29,0.008,0.008,0.008,0.008
2021-06-30,0.02,0.02,0.02,0.02
2021-07-01,0.011,0.011,0.011,0.011
2021-07-02,0.023,0.023,0.023,0.023
2021-07-05,0.013,0.013,0.013,0.013
2021-07-06,0.015,0.015,0.015,0.015
2021-07-07,0.019,0.019,0.019,0.019
2021-07-08,0.011,0.011,0.011,0.011
2021-07-09,0.014,0.014,0.014,0.014
2021-07-12,0.013,0.013,0.013,0.013
2021-07-13,0.011,0.011,0.011,0.011
2021-07-14,0.01,0.01,0.01,0.01
2021-07-15,0.016,0.016,0.016,0.016
2021-07-16,0.018,0.018,0.018,0.018
2021-07-19,0.017,0.017,0.017,0.017
2021-07-20,0.01,0.01,0.01,0.01
2021-07-21,0.013,0.013,0.013,0.013
2021-07-22,0.014,0.014,0.014,0.014
2021-07-23,0.013,0.013,0.013,0.013
2021-07-26,0.019,0.019,0.019,0.019
2021-07-27,0.02,0.02,0.02,0.02
2021-07-28,0.018,0.018,0.018,0.018
2021-07-29,0.018,0.018,0.018,0.018
2021-07-30,0.016,0.016,0.016,0.016
2021-08-02,0,0,0,0
2021-08-03,0.007,0.007,0.007,0.007
2021-08-04,0.004,0.004,0.004,0.004
2021-08-05,0.007,0.007,0.007,0.007
2021-08-06,0.01,0.01,0.01,0.01
2021-08-09,0.009,0.009,0.009,0.009
2021-08-10,0.013,0.013,0.013,0.013
2021-08-11,0.011,0.011,0.011,0.011
2021-08-12,0.011,0.011,0.011,0.011
2021-08-13,0.016,0.016,0.016,0.016
2021-08-16,0.022,0.022,0.022,0.022
2021-08-17,0.017,0.017,0.017,0.017
2021-08-18,0.016,0.016,0.016,0.016
2021-08-19,0.013,0.013,0.013,0.013
2021-08-20,0.013,0.013,0.013,0.013
2021-08-23,0.016,0.016,0.016,0.016
2021-08-24,0.015,0.015,0.015,0.015
2021-08-25,0.018,0.018,0.018,0.018
2021-08-26,0.018,0.018,0.018,0.018
2021-08-27,0.015,0.015,0.015,0.015
2021-08-30,0.017,0.017,0.017,0.017
2021-08-31,0.02,0.02,0.02,0.02
2021-09-01,0.015,0.015,0.015,0.015
2021-09-02,0.013,0.013,0.013,0.013
2021-09-03,0.009,0.009,0.009,0.009
2021-09-06,0.009,0.009,0.009,0.009
2021-09-07,0.009,0.009,0.009,0.009
2021-09-08,0.01,0.01,0.01,0.01
2021-09-09,0.01,0.01,0.01,0.01
2021-09-10,0.012,0.012,0.012,0.012
2021-09-13,0.009,0.009,0.009,0.009
2021-09-14,0.012,0.012,0.012,0.012
2021-09-15,0.019,0.019,0.019,0.019
2021-09-16,0.018,0.018,0.018,0.018
2021-09-17,0.016,0.016,0.016,0.016
2021-09-20,0.019,0.019,0.019,0.019
2021-09-21,0.018,0.018,0.018,0.018
2021-09-22,0.014,0.014,0.014,0.014
2021-09-23,0.016,0.016,0.016,0.016
2021-09-24,0.005,0.005,0.005,0.005
2021-09-27,0.015,0.015,0.015,0.015
2021-09-28,0.018,0.018,0.018,0.018
2021-09-29,0.019,0.019,0.019,0.019
2021-09-30,0.025,0.025,0.025,0.025
2021-10-01,0.021,0.021,0.021,0.021
2021-10-04,0.015,0.015,0.015,0.015
2021-10-05,0.011,0.011,0.011,0.011
2021-10-06,0.009,0.009,0.009,0.009
2021-10-07,0.059,0.059,0.059,0.059
2021-10-08,0.106,0.106,0.106,0.106
2021-10-11,0.068,0.068,0.068,0.068
2021-10-12,0.112,0.112,0.112,0.112
2021-10-13,0.072,0.072,0.072,0.072
2021-10-14,0.08,0.08,0.08,0.08
2021-10-15,0.175,0.175,0.175,0.175
2021-10-18,0.182,0.182,0.182,0.182
2021-10-19,0.152,0.152,0.152,0.152
2021-10-20,0.147,0.147,0.147,0.147
2021-10-21,0.151,0.151,0.151,0.151
2021-10-22,0.111,0.111,0.111,0.111
2021-10-25,0.104,0.104,0.104,0.104
2021-10-26,0.1,0.1,0.1,0.1
2021-10-27,0.105,0.105,0.105,0.105
2021-10-28,0.109,0.109,0.109,0.109
2021-10-29,0.096,0.096,0.096,0.096
2021-11-02,0.125,0.125,0.125,0.125
